x,y,size,color_name,color_hex
35,3,4,"Orange",#FF7700
39,3,4,"Orange",#FF7700
43,3,4,"Orange",#FF7700
47,3,4,"Orange",#FF7700
51,3,4,"Orange",#FF7700
55,3,4,"Orange",#FF7700
59,3,4,"Orange",#FF7700
63,3,4,"Orange",#FF7700
67,3,4,"Orange",#FF7700
71,3,4,"Orange",#FF7700
75,3,4,"Orange",#FF7700
79,3,4,"Orange",#FF7700
83,3,4,"Orange",#FF7700
87,3,4,"Orange",#FF7700
91,3,4,"Orange",#FF7700
95,3,4,"Orange",#FF7700
99,3,4,"Orange",#FF7700
103,3,4,"Orange",#FF7700
107,3,4,"Orange",#FF7700
111,3,4,"Orange",#FF7700
115,3,4,"Orange",#FF7700
119,3,4,"Orange",#FF7700
123,3,3,"Orange",#FF7700
0,4,4,"Orange",#FF7700
4,4,4,"Orange",#FF7700
8,4,4,"Orange",#FF7700
12,4,4,"Orange",#FF7700
16,4,4,"Orange",#FF7700
20,4,4,"Orange",#FF7700
24,4,4,"Orange",#FF7700
28,4,4,"Orange",#FF7700
32,4,4,"Orange",#FF7700
36,4,4,"Orange",#FF7700
40,4,4,"Orange",#FF7700
44,4,4,"Orange",#FF7700
48,4,4,"Orange",#FF7700
52,4,4,"Orange",#FF7700
56,4,4,"Orange",#FF7700
60,4,4,"Orange",#FF7700
64,4,4,"Orange",#FF7700
68,4,4,"Orange",#FF7700
72,4,4,"Orange",#FF7700
76,4,4,"Orange",#FF7700
80,4,4,"Orange",#FF7700
84,4,4,"Orange",#FF7700
88,4,4,"Orange",#FF7700
92,4,4,"Orange",#FF7700
96,4,4,"Orange",#FF7700
100,4,4,"Orange",#FF7700
104,4,4,"Orange",#FF7700
108,4,4,"Orange",#FF7700
112,4,4,"Orange",#FF7700
116,4,4,"Orange",#FF7700
120,4,4,"Orange",#FF7700
124,4,2,"Orange",#FF7700
0,5,3,"Orange",#FF7700
3,5,4,"Orange",#FF7700
7,5,4,"Orange",#FF7700
11,5,4,"Orange",#FF7700
15,5,4,"Orange",#FF7700
19,5,4,"Orange",#FF7700
23,5,4,"Orange",#FF7700
27,5,4,"Orange",#FF7700
31,5,4,"Orange",#FF7700
35,5,4,"Orange",#FF7700
39,5,4,"Orange",#FF7700
43,5,4,"Orange",#FF7700
47,5,4,"Orange",#FF7700
51,5,4,"Orange",#FF7700
55,5,4,"Orange",#FF7700
59,5,4,"Orange",#FF7700
63,5,4,"Orange",#FF7700
67,5,4,"Orange",#FF7700
71,5,4,"Orange",#FF7700
75,5,4,"Orange",#FF7700
79,5,4,"Orange",#FF7700
83,5,4,"Orange",#FF7700
87,5,4,"Orange",#FF7700
91,5,4,"Orange",#FF7700
95,5,4,"Orange",#FF7700
99,5,4,"Orange",#FF7700
103,5,4,"Orange",#FF7700
107,5,4,"Orange",#FF7700
111,5,4,"Orange",#FF7700
115,5,4,"Orange",#FF7700
119,5,4,"Orange",#FF7700
123,5,3,"Orange",#FF7700
0,6,4,"Orange",#FF7700
4,6,4,"Orange",#FF7700
8,6,4,"Orange",#FF7700
12,6,4,"Orange",#FF7700
16,6,4,"Orange",#FF7700
20,6,4,"Orange",#FF7700
24,6,4,"Orange",#FF7700
28,6,4,"Orange",#FF7700
32,6,4,"Orange",#FF7700
36,6,4,"Orange",#FF7700
40,6,4,"Orange",#FF7700
44,6,4,"Orange",#FF7700
48,6,4,"Orange",#FF7700
52,6,2,"Orange",#FF7700
54,6,4,"Bright Light Orange",#FFBB00
58,6,4,"Bright Light Orange",#FFBB00
62,6,4,"Bright Light Orange",#FFBB00
66,6,4,"Bright Light Orange",#FFBB00
70,6,4,"Bright Light Orange",#FFBB00
74,6,2,"Bright Light Orange",#FFBB00
76,6,4,"Orange",#FF7700
80,6,4,"Orange",#FF7700
84,6,4,"Orange",#FF7700
88,6,4,"Orange",#FF7700
92,6,4,"Orange",#FF7700
96,6,4,"Orange",#FF7700
100,6,4,"Orange",#FF7700
104,6,4,"Orange",#FF7700
108,6,4,"Orange",#FF7700
112,6,4,"Orange",#FF7700
116,6,4,"Orange",#FF7700
120,6,4,"Orange",#FF7700
124,6,2,"Orange",#FF7700
0,7,3,"Orange",#FF7700
3,7,4,"Orange",#FF7700
7,7,4,"Orange",#FF7700
11,7,4,"Orange",#FF7700
15,7,4,"Orange",#FF7700
19,7,4,"Orange",#FF7700
23,7,4,"Orange",#FF7700
27,7,4,"Orange",#FF7700
31,7,4,"Orange",#FF7700
35,7,4,"Orange",#FF7700
39,7,4,"Orange",#FF7700
43,7,4,"Orange",#FF7700
47,7,2,"Orange",#FF7700
49,7,1,"Bright Light Orange",#FFBB00
50,7,1,"Orange",#FF7700
51,7,1,"Orange",#FF7700
52,7,4,"Bright Light Orange",#FFBB00
56,7,4,"Bright Light Orange",#FFBB00
60,7,4,"Bright Light Orange",#FFBB00
64,7,4,"Bright Light Orange",#FFBB00
68,7,4,"Bright Light Orange",#FFBB00
72,7,3,"Bright Light Orange",#FFBB00
75,7,4,"Bright Light Orange",#FFBB00
79,7,2,"Bright Light Orange",#FFBB00
81,7,4,"Orange",#FF7700
85,7,4,"Orange",#FF7700
89,7,4,"Orange",#FF7700
93,7,4,"Orange",#FF7700
97,7,4,"Orange",#FF7700
101,7,4,"Orange",#FF7700
105,7,4,"Orange",#FF7700
109,7,4,"Orange",#FF7700
113,7,4,"Orange",#FF7700
117,7,4,"Orange",#FF7700
121,7,4,"Orange",#FF7700
125,7,1,"Orange",#FF7700
0,8,4,"Orange",#FF7700
4,8,4,"Orange",#FF7700
8,8,4,"Orange",#FF7700
12,8,4,"Orange",#FF7700
16,8,4,"Orange",#FF7700
20,8,4,"Orange",#FF7700
24,8,4,"Orange",#FF7700
28,8,4,"Orange",#FF7700
32,8,4,"Orange",#FF7700
36,8,4,"Orange",#FF7700
40,8,4,"Orange",#FF7700
44,8,1,"Orange",#FF7700
45,8,3,"Bright Light Orange",#FFBB00
48,8,1,"Bright Light Orange",#FFBB00
49,8,4,"Bright Light Orange",#FFBB00
53,8,4,"Bright Light Orange",#FFBB00
57,8,4,"Bright Light Orange",#FFBB00
61,8,4,"Bright Light Orange",#FFBB00
65,8,4,"Bright Light Orange",#FFBB00
69,8,4,"Bright Light Orange",#FFBB00
73,8,1,"Orange",#FF7700
74,8,1,"Bright Light Orange",#FFBB00
75,8,1,"Yellow",#FFD700
76,8,1,"Orange",#FF7700
77,8,3,"Bright Light Orange",#FFBB00
80,8,1,"Bright Light Orange",#FFBB00
81,8,3,"Orange",#FF7700
84,8,4,"Orange",#FF7700
88,8,4,"Orange",#FF7700
92,8,4,"Orange",#FF7700
96,8,4,"Orange",#FF7700
100,8,4,"Orange",#FF7700
104,8,4,"Orange",#FF7700
108,8,4,"Orange",#FF7700
112,8,4,"Orange",#FF7700
116,8,4,"Orange",#FF7700
120,8,4,"Orange",#FF7700
124,8,2,"Orange",#FF7700
0,9,3,"Orange",#FF7700
3,9,4,"Orange",#FF7700
7,9,4,"Orange",#FF7700
11,9,4,"Orange",#FF7700
15,9,4,"Orange",#FF7700
19,9,4,"Orange",#FF7700
23,9,4,"Orange",#FF7700
27,9,4,"Orange",#FF7700
31,9,4,"Orange",#FF7700
35,9,4,"Orange",#FF7700
39,9,1,"Orange",#FF7700
40,9,1,"Bright Light Orange",#FFBB00
41,9,2,"Orange",#FF7700
43,9,4,"Orange",#FF7700
47,9,1,"Bright Light Orange",#FFBB00
48,9,2,"Orange",#FF7700
50,9,4,"Bright Light Orange",#FFBB00
54,9,4,"Bright Light Orange",#FFBB00
58,9,4,"Bright Light Orange",#FFBB00
62,9,4,"Bright Light Orange",#FFBB00
66,9,4,"Bright Light Orange",#FFBB00
70,9,1,"Bright Light Orange",#FFBB00
71,9,1,"Yellow",#FFD700
72,9,1,"Orange",#FF7700
73,9,1,"Orange",#FF7700
74,9,1,"Coral",#FF5544
75,9,1,"Orange",#FF7700
76,9,1,"Coral",#FF5544
77,9,1,"Orange",#FF7700
78,9,1,"Coral",#FF5544
79,9,1,"Orange",#FF7700
80,9,3,"Bright Light Orange",#FFBB00
83,9,4,"Orange",#FF7700
87,9,4,"Orange",#FF7700
91,9,4,"Orange",#FF7700
95,9,4,"Orange",#FF7700
99,9,4,"Orange",#FF7700
103,9,4,"Orange",#FF7700
107,9,4,"Orange",#FF7700
111,9,4,"Orange",#FF7700
115,9,4,"Orange",#FF7700
119,9,4,"Orange",#FF7700
123,9,3,"Orange",#FF7700
0,10,4,"Orange",#FF7700
4,10,4,"Orange",#FF7700
8,10,4,"Orange",#FF7700
12,10,4,"Orange",#FF7700
16,10,4,"Orange",#FF7700
20,10,4,"Orange",#FF7700
24,10,4,"Orange",#FF7700
28,10,4,"Orange",#FF7700
32,10,4,"Orange",#FF7700
36,10,2,"Orange",#FF7700
38,10,1,"Orange",#FF7700
39,10,1,"Orange",#FF7700
40,10,1,"Bright Light Orange",#FFBB00
41,10,4,"Orange",#FF7700
45,10,1,"Orange",#FF7700
46,10,1,"Orange",#FF7700
47,10,1,"Bright Light Orange",#FFBB00
48,10,1,"Orange",#FF7700
49,10,1,"Bright Light Orange",#FFBB00
50,10,1,"Coral",#FF5544
51,10,4,"Bright Light Orange",#FFBB00
55,10,4,"Bright Light Orange",#FFBB00
59,10,4,"Bright Light Orange",#FFBB00
63,10,4,"Bright Light Orange",#FFBB00
67,10,2,"Bright Light Orange",#FFBB00
69,10,1,"Bright Light Orange",#FFBB00
70,10,1,"Bright Light Orange",#FFBB00
71,10,1,"Bright Light Orange",#FFBB00
72,10,1,"Orange",#FF7700
73,10,1,"Orange",#FF7700
74,10,1,"Coral",#FF5544
75,10,1,"Coral",#FF5544
76,10,1,"Coral",#FF5544
77,10,1,"Coral",#FF5544
78,10,1,"Coral",#FF5544
79,10,1,"Orange",#FF7700
80,10,1,"Coral",#FF5544
81,10,4,"Bright Light Orange",#FFBB00
85,10,1,"Bright Light Orange",#FFBB00
86,10,4,"Orange",#FF7700
90,10,4,"Orange",#FF7700
94,10,4,"Orange",#FF7700
98,10,4,"Orange",#FF7700
102,10,4,"Orange",#FF7700
106,10,4,"Orange",#FF7700
110,10,4,"Orange",#FF7700
114,10,4,"Orange",#FF7700
118,10,4,"Orange",#FF7700
122,10,4,"Orange",#FF7700
0,11,3,"Orange",#FF7700
3,11,4,"Orange",#FF7700
7,11,4,"Orange",#FF7700
11,11,4,"Orange",#FF7700
15,11,4,"Orange",#FF7700
19,11,4,"Orange",#FF7700
23,11,4,"Orange",#FF7700
27,11,4,"Orange",#FF7700
31,11,4,"Orange",#FF7700
35,11,2,"Orange",#FF7700
37,11,1,"Bright Light Orange",#FFBB00
38,11,1,"Bright Light Orange",#FFBB00
39,11,1,"Bright Light Orange",#FFBB00
40,11,4,"Orange",#FF7700
44,11,1,"Coral",#FF5544
45,11,1,"Coral",#FF5544
46,11,1,"Coral",#FF5544
47,11,1,"Coral",#FF5544
48,11,4,"Orange",#FF7700
52,11,4,"Bright Light Orange",#FFBB00
56,11,4,"Bright Light Orange",#FFBB00
60,11,4,"Bright Light Orange",#FFBB00
64,11,4,"Bright Light Orange",#FFBB00
68,11,1,"Bright Light Orange",#FFBB00
69,11,1,"Coral",#FF5544
70,11,1,"Orange",#FF7700
71,11,1,"Orange",#FF7700
72,11,1,"Coral",#FF5544
73,11,1,"Coral",#FF5544
74,11,1,"Coral",#FF5544
75,11,1,"Coral",#FF5544
76,11,1,"Coral",#FF5544
77,11,1,"Coral",#FF5544
78,11,1,"Coral",#FF5544
79,11,1,"Orange",#FF7700
80,11,1,"Coral",#FF5544
81,11,1,"Orange",#FF7700
82,11,2,"Bright Light Orange",#FFBB00
84,11,4,"Bright Light Orange",#FFBB00
88,11,4,"Orange",#FF7700
92,11,4,"Orange",#FF7700
96,11,4,"Orange",#FF7700
100,11,4,"Orange",#FF7700
104,11,4,"Orange",#FF7700
108,11,4,"Orange",#FF7700
112,11,4,"Orange",#FF7700
116,11,4,"Orange",#FF7700
120,11,4,"Orange",#FF7700
124,11,2,"Orange",#FF7700
0,12,4,"Orange",#FF7700
4,12,4,"Orange",#FF7700
8,12,4,"Orange",#FF7700
12,12,4,"Orange",#FF7700
16,12,4,"Orange",#FF7700
20,12,4,"Orange",#FF7700
24,12,4,"Orange",#FF7700
28,12,4,"Orange",#FF7700
32,12,2,"Orange",#FF7700
34,12,2,"Bright Light Orange",#FFBB00
36,12,1,"Bright Light Orange",#FFBB00
37,12,4,"Bright Light Orange",#FFBB00
41,12,2,"Orange",#FF7700
43,12,1,"Coral",#FF5544
44,12,1,"Coral",#FF5544
45,12,1,"Coral",#FF5544
46,12,1,"Orange",#FF7700
47,12,2,"Coral",#FF5544
49,12,1,"Orange",#FF7700
50,12,1,"Coral",#FF5544
51,12,2,"Orange",#FF7700
53,12,4,"Bright Light Orange",#FFBB00
57,12,4,"Bright Light Orange",#FFBB00
61,12,4,"Bright Light Orange",#FFBB00
65,12,2,"Bright Light Orange",#FFBB00
67,12,1,"Bright Light Orange",#FFBB00
68,12,1,"Orange",#FF7700
69,12,1,"Orange",#FF7700
70,12,1,"Orange",#FF7700
71,12,1,"Coral",#FF5544
72,12,1,"Coral",#FF5544
73,12,1,"Coral",#FF5544
74,12,1,"Coral",#FF5544
75,12,1,"Coral",#FF5544
76,12,1,"Coral",#FF5544
77,12,1,"Coral",#FF5544
78,12,1,"Coral",#FF5544
79,12,1,"Coral",#FF5544
80,12,1,"Coral",#FF5544
81,12,2,"Orange",#FF7700
83,12,4,"Bright Light Orange",#FFBB00
87,12,4,"Bright Light Orange",#FFBB00
91,12,4,"Orange",#FF7700
95,12,4,"Orange",#FF7700
99,12,4,"Orange",#FF7700
103,12,4,"Orange",#FF7700
107,12,4,"Orange",#FF7700
111,12,4,"Orange",#FF7700
115,12,4,"Orange",#FF7700
119,12,4,"Orange",#FF7700
123,12,3,"Orange",#FF7700
0,13,3,"Orange",#FF7700
3,13,4,"Orange",#FF7700
7,13,4,"Orange",#FF7700
11,13,4,"Orange",#FF7700
15,13,4,"Orange",#FF7700
19,13,4,"Orange",#FF7700
23,13,4,"Orange",#FF7700
27,13,4,"Orange",#FF7700
31,13,2,"Orange",#FF7700
33,13,1,"Orange",#FF7700
34,13,4,"Bright Light Orange",#FFBB00
38,13,1,"Bright Light Orange",#FFBB00
39,13,1,"Orange",#FF7700
40,13,1,"Bright Light Orange",#FFBB00
41,13,1,"Coral",#FF5544
42,13,1,"Coral",#FF5544
43,13,1,"Coral",#FF5544
44,13,1,"Orange",#FF7700
45,13,1,"Coral",#FF5544
46,13,1,"Orange",#FF7700
47,13,1,"Coral",#FF5544
48,13,1,"Coral",#FF5544
49,13,1,"Coral",#FF5544
50,13,2,"Orange",#FF7700
52,13,1,"Coral",#FF5544
53,13,1,"Orange",#FF7700
54,13,4,"Bright Light Orange",#FFBB00
58,13,4,"Bright Light Orange",#FFBB00
62,13,4,"Bright Light Orange",#FFBB00
66,13,1,"Bright Light Orange",#FFBB00
67,13,1,"Bright Light Orange",#FFBB00
68,13,1,"Orange",#FF7700
69,13,1,"Orange",#FF7700
70,13,1,"Coral",#FF5544
71,13,1,"Coral",#FF5544
72,13,1,"Coral",#FF5544
73,13,1,"Coral",#FF5544
74,13,1,"Orange",#FF7700
75,13,1,"Coral",#FF5544
76,13,1,"Coral",#FF5544
77,13,1,"Orange",#FF7700
78,13,1,"Coral",#FF5544
79,13,1,"Coral",#FF5544
80,13,1,"Coral",#FF5544
81,13,1,"Orange",#FF7700
82,13,1,"Coral",#FF5544
83,13,3,"Bright Light Orange",#FFBB00
86,13,4,"Bright Light Orange",#FFBB00
90,13,1,"Bright Light Orange",#FFBB00
91,13,3,"Orange",#FF7700
94,13,4,"Orange",#FF7700
98,13,4,"Orange",#FF7700
102,13,4,"Orange",#FF7700
106,13,4,"Orange",#FF7700
110,13,4,"Orange",#FF7700
114,13,4,"Orange",#FF7700
118,13,4,"Orange",#FF7700
122,13,4,"Orange",#FF7700
0,14,4,"Orange",#FF7700
4,14,4,"Orange",#FF7700
8,14,4,"Orange",#FF7700
12,14,4,"Orange",#FF7700
16,14,4,"Orange",#FF7700
20,14,4,"Orange",#FF7700
24,14,4,"Orange",#FF7700
28,14,4,"Orange",#FF7700
32,14,4,"Bright Light Orange",#FFBB00
36,14,1,"Bright Light Orange",#FFBB00
37,14,1,"Bright Light Orange",#FFBB00
38,14,1,"Orange",#FF7700
39,14,1,"Orange",#FF7700
40,14,1,"Bright Light Orange",#FFBB00
41,14,1,"Coral",#FF5544
42,14,1,"Coral",#FF5544
43,14,1,"Orange",#FF7700
44,14,1,"Orange",#FF7700
45,14,1,"Coral",#FF5544
46,14,1,"Orange",#FF7700
47,14,1,"Coral",#FF5544
48,14,1,"Orange",#FF7700
49,14,2,"Coral",#FF5544
51,14,1,"Orange",#FF7700
52,14,1,"Coral",#FF5544
53,14,2,"Orange",#FF7700
55,14,4,"Bright Light Orange",#FFBB00
59,14,4,"Bright Light Orange",#FFBB00
63,14,2,"Bright Light Orange",#FFBB00
65,14,1,"Bright Light Orange",#FFBB00
66,14,1,"Bright Light Orange",#FFBB00
67,14,1,"Orange",#FF7700
68,14,1,"Coral",#FF5544
69,14,1,"Orange",#FF7700
70,14,1,"Coral",#FF5544
71,14,1,"Coral",#FF5544
72,14,1,"Orange",#FF7700
73,14,1,"Coral",#FF5544
74,14,1,"Orange",#FF7700
75,14,1,"Coral",#FF5544
76,14,1,"Orange",#FF7700
77,14,1,"Orange",#FF7700
78,14,1,"Orange",#FF7700
79,14,1,"Orange",#FF7700
80,14,1,"Coral",#FF5544
81,14,1,"Coral",#FF5544
82,14,1,"Coral",#FF5544
83,14,1,"Orange",#FF7700
84,14,4,"Bright Light Orange",#FFBB00
88,14,4,"Bright Light Orange",#FFBB00
92,14,1,"Bright Light Orange",#FFBB00
93,14,1,"Bright Light Orange",#FFBB00
94,14,3,"Orange",#FF7700
97,14,4,"Orange",#FF7700
101,14,4,"Orange",#FF7700
105,14,4,"Orange",#FF7700
109,14,4,"Orange",#FF7700
113,14,4,"Orange",#FF7700
117,14,4,"Orange",#FF7700
121,14,4,"Orange",#FF7700
125,14,1,"Orange",#FF7700
0,15,3,"Orange",#FF7700
3,15,4,"Orange",#FF7700
7,15,4,"Orange",#FF7700
11,15,4,"Orange",#FF7700
15,15,4,"Orange",#FF7700
19,15,4,"Orange",#FF7700
23,15,4,"Orange",#FF7700
27,15,4,"Orange",#FF7700
31,15,1,"Orange",#FF7700
32,15,3,"Bright Light Orange",#FFBB00
35,15,1,"Bright Light Orange",#FFBB00
36,15,1,"Bright Light Orange",#FFBB00
37,15,1,"Orange",#FF7700
38,15,1,"Orange",#FF7700
39,15,1,"Orange",#FF7700
40,15,1,"Coral",#FF5544
41,15,1,"Coral",#FF5544
42,15,1,"Coral",#FF5544
43,15,1,"Orange",#FF7700
44,15,1,"Orange",#FF7700
45,15,1,"Coral",#FF5544
46,15,1,"Orange",#FF7700
47,15,1,"Coral",#FF5544
48,15,1,"Orange",#FF7700
49,15,1,"Coral",#FF5544
50,15,4,"Coral",#FF5544
54,15,1,"Orange",#FF7700
55,15,3,"Yellow",#FFD700
58,15,4,"Yellow",#FFD700
62,15,2,"Yellow",#FFD700
64,15,1,"Yellow",#FFD700
65,15,1,"Yellow",#FFD700
66,15,1,"Bright Light Orange",#FFBB00
67,15,1,"Orange",#FF7700
68,15,1,"Coral",#FF5544
69,15,1,"Orange",#FF7700
70,15,1,"Coral",#FF5544
71,15,1,"Coral",#FF5544
72,15,1,"Orange",#FF7700
73,15,1,"Coral",#FF5544
74,15,1,"Orange",#FF7700
75,15,1,"Coral",#FF5544
76,15,1,"Orange",#FF7700
77,15,1,"Orange",#FF7700
78,15,1,"Orange",#FF7700
79,15,1,"Orange",#FF7700
80,15,1,"Coral",#FF5544
81,15,1,"Coral",#FF5544
82,15,1,"Coral",#FF5544
83,15,2,"Orange",#FF7700
85,15,4,"Bright Light Orange",#FFBB00
89,15,2,"Bright Light Orange",#FFBB00
91,15,1,"Bright Light Orange",#FFBB00
92,15,1,"Bright Light Orange",#FFBB00
93,15,1,"Bright Light Orange",#FFBB00
94,15,4,"Orange",#FF7700
98,15,4,"Orange",#FF7700
102,15,4,"Orange",#FF7700
106,15,4,"Orange",#FF7700
110,15,4,"Orange",#FF7700
114,15,4,"Orange",#FF7700
118,15,4,"Orange",#FF7700
122,15,4,"Orange",#FF7700
0,16,4,"Orange",#FF7700
4,16,4,"Orange",#FF7700
8,16,4,"Orange",#FF7700
12,16,4,"Orange",#FF7700
16,16,4,"Orange",#FF7700
20,16,4,"Orange",#FF7700
24,16,4,"Orange",#FF7700
28,16,2,"Orange",#FF7700
30,16,1,"Orange",#FF7700
31,16,3,"Bright Light Orange",#FFBB00
34,16,1,"Bright Light Orange",#FFBB00
35,16,1,"Bright Light Orange",#FFBB00
36,16,1,"Bright Light Orange",#FFBB00
37,16,1,"Orange",#FF7700
38,16,1,"Orange",#FF7700
39,16,1,"Orange",#FF7700
40,16,1,"Coral",#FF5544
41,16,1,"Orange",#FF7700
42,16,1,"Coral",#FF5544
43,16,1,"Orange",#FF7700
44,16,1,"Orange",#FF7700
45,16,1,"Coral",#FF5544
46,16,1,"Orange",#FF7700
47,16,1,"Coral",#FF5544
48,16,1,"Orange",#FF7700
49,16,4,"Coral",#FF5544
53,16,1,"Coral",#FF5544
54,16,1,"Orange",#FF7700
55,16,1,"Bright Light Orange",#FFBB00
56,16,3,"Orange",#FF7700
59,16,1,"Bright Light Orange",#FFBB00
60,16,3,"Orange",#FF7700
63,16,1,"Orange",#FF7700
64,16,1,"Orange",#FF7700
65,16,1,"Orange",#FF7700
66,16,1,"Orange",#FF7700
67,16,1,"Coral",#FF5544
68,16,1,"Coral",#FF5544
69,16,1,"Orange",#FF7700
70,16,1,"Coral",#FF5544
71,16,1,"Coral",#FF5544
72,16,1,"Orange",#FF7700
73,16,1,"Coral",#FF5544
74,16,1,"Orange",#FF7700
75,16,1,"Coral",#FF5544
76,16,1,"Orange",#FF7700
77,16,1,"Orange",#FF7700
78,16,1,"Orange",#FF7700
79,16,1,"Orange",#FF7700
80,16,1,"Coral",#FF5544
81,16,1,"Coral",#FF5544
82,16,1,"Coral",#FF5544
83,16,1,"Orange",#FF7700
84,16,1,"Orange",#FF7700
85,16,3,"Bright Light Orange",#FFBB00
88,16,2,"Bright Light Orange",#FFBB00
90,16,1,"Bright Light Orange",#FFBB00
91,16,4,"Bright Light Orange",#FFBB00
95,16,2,"Bright Light Orange",#FFBB00
97,16,4,"Orange",#FF7700
101,16,4,"Orange",#FF7700
105,16,4,"Orange",#FF7700
109,16,4,"Orange",#FF7700
113,16,4,"Orange",#FF7700
117,16,4,"Orange",#FF7700
121,16,4,"Orange",#FF7700
125,16,1,"Orange",#FF7700
0,17,3,"Orange",#FF7700
3,17,4,"Orange",#FF7700
7,17,4,"Orange",#FF7700
11,17,4,"Orange",#FF7700
15,17,4,"Orange",#FF7700
19,17,4,"Orange",#FF7700
23,17,4,"Orange",#FF7700
27,17,1,"Orange",#FF7700
28,17,4,"Bright Light Orange",#FFBB00
32,17,1,"Bright Light Orange",#FFBB00
33,17,1,"Bright Light Orange",#FFBB00
34,17,1,"Bright Light Orange",#FFBB00
35,17,1,"Bright Light Orange",#FFBB00
36,17,1,"Bright Light Orange",#FFBB00
37,17,1,"Bright Light Orange",#FFBB00
38,17,1,"Orange",#FF7700
39,17,1,"Orange",#FF7700
40,17,1,"Coral",#FF5544
41,17,1,"Orange",#FF7700
42,17,1,"Coral",#FF5544
43,17,1,"Orange",#FF7700
44,17,1,"Orange",#FF7700
45,17,1,"Coral",#FF5544
46,17,1,"Orange",#FF7700
47,17,1,"Coral",#FF5544
48,17,1,"Orange",#FF7700
49,17,3,"Coral",#FF5544
52,17,1,"Coral",#FF5544
53,17,1,"Coral",#FF5544
54,17,1,"Orange",#FF7700
55,17,1,"Orange",#FF7700
56,17,1,"Bright Light Orange",#FFBB00
57,17,1,"Orange",#FF7700
58,17,1,"Coral",#FF5544
59,17,3,"Orange",#FF7700
62,17,1,"Coral",#FF5544
63,17,1,"Orange",#FF7700
64,17,1,"Orange",#FF7700
65,17,1,"Coral",#FF5544
